question,answer,time,subject,group
1,0,72,1,1
2,1,29,1,1
3,1,48,1,1
4,0,48,1,1
5,0,46,1,1
6,1,34,1,1
7,0,51,1,1
8,1,28,1,1
9,0,25,1,1
10,0,14,1,1
1,0,144,2,1
2,1,124,2,1
3,1,29,2,1
4,0,102,2,1
5,0,74,2,1
6,1,64,2,1
7,1,45,2,1
8,1,62,2,1
9,0,69,2,1
10,0,52,2,1
1,0,148,3,1
2,1,97,3,1
3,1,57,3,1
4,0,128,3,1
5,0,145,3,1
6,1,90,3,1
7,1,42,3,1
8,1,68,3,1
9,0,63,3,1
10,0,121,3,1
1,0,60,1,2
2,0,143,1,2
3,1,72,1,2
4,0,71,1,2
5,0,84,1,2
6,1,64,1,2
7,0,102,1,2
8,1,81,1,2
9,0,51,1,2
10,0,86,1,2
1,0,130,2,2
2,1,93,2,2
3,1,90,2,2
4,0,72,2,2
5,0,89,2,2
6,1,69,2,2
7,0,81,2,2
8,1,93,2,2
9,0,70,2,2
10,0,91,2,2
1,0,112,3,2
2,1,50,3,2
3,1,117,3,2
4,0,76,3,2
5,0,114,3,2
6,1,88,3,2
7,0,88,3,2
8,1,74,3,2
9,0,103,3,2
10,1,134,3,2
1,0,67.5,1,3
2,0,81.19,1,3
3,1,73.17,1,3
4,0,48.88,1,3
5,0,48.58,1,3
6,1,57.3,1,3
7,1,40.63,1,3
8,1,85.62,1,3
9,0,51.26,1,3
10,0,51.18,1,3